Date,QQQ,ASTS,BRK/B,CBOE,COIN,DDOG,GOOGL,HOOD,INTU,JEPQ,MDB,MELI,META,MSFT,MSTR,NBIS,NET,PATH,PLTR,QQQM,RDDT,SGOV,SHOP,SMCI,SNAP,SNOW,TQQQ,ULTY,WIX,XYZ
2023-07-12,368.1867370605469,4.389999866485596,345.3500061035156,135.5471649169922,85.94999694824219,105.44499969482422,118.22098541259766,11.9399995803833,470.93505859375,39.45677947998047,391.0799865722656,1141.1300048828125,307.6522216796875,332.0370178222656,41.3489990234375,,64.2300033569336,17.56999969482422,16.59000015258789,151.30633544921875,,91.04320526123047,65.94000244140625,27.663999557495117,13.369999885559082,171.92999267578125,40.8278923034668,,78.22000122070312,71.22000122070312
2023-07-13,374.43804931640625,4.429999828338623,343.5400085449219,139.54026794433594,107.0,109.19000244140625,123.79754638671875,12.449999809265137,475.3892517089844,39.75050735473633,407.2099914550781,1146.719970703125,311.70001220703125,337.413330078125,46.18299865722656,,67.62000274658203,18.399999618530273,16.739999771118164,153.85177612304688,,91.07950592041016,70.37000274658203,29.405000686645508,13.510000228881836,184.22000122070312,42.86102294921875,,80.0199966430664,76.19999694824219
2023-07-14,374.35906982421875,4.239999771118164,341.0899963378906,140.68258666992188,105.30999755859375,108.52999877929688,124.67228698730469,12.380000114440918,477.9964904785156,39.799468994140625,398.67999267578125,1135.719970703125,307.18475341796875,339.9538269042969,45.88600158691406,,66.54000091552734,17.540000915527344,16.399999618530273,153.8813934326172,,91.08856201171875,68.44999694824219,29.538000106811523,13.149999618530273,180.7899932861328,42.82210922241211,,79.37999725341797,75.45999908447266
2023-07-17,377.8550720214844,4.03000020980835,344.25,140.08657836914062,105.55000305175781,112.7699966430664,123.90689086914062,12.489999771118164,484.7419738769531,39.98711395263672,409.1700134277344,1179.1700439453125,308.9252014160156,340.4364013671875,44.987998962402344,,71.18000030517578,18.450000762939453,17.399999618530273,155.23304748535156,,91.10671997070312,68.68000030517578,30.204999923706055,13.470000267028809,184.2100067138672,44.00890350341797,,83.0999984741211,78.05999755859375
2023-07-18,380.9461975097656,4.139999866485596,345.3399963378906,139.252197265625,104.58999633789062,113.81999969482422,123.02218627929688,12.59000015258789,489.2948913574219,40.15846252441406,426.0199890136719,1208.6600341796875,310.3473815917969,353.98565673828125,44.58000183105469,,72.93000030517578,18.239999771118164,18.079999923706055,156.5748291015625,,91.11578369140625,67.26000213623047,31.84000015258789,13.369999885559082,188.1999969482422,45.05951690673828,,87.0,79.02999877929688
2023-07-19,380.8572692871094,4.099999904632568,342.42999267578125,139.252197265625,110.1500015258789,115.22000122070312,121.30249786376953,13.119999885559082,494.3612976074219,40.13397979736328,431.2099914550781,1225.75,314.2858581542969,349.6431579589844,45.310001373291016,,72.69999694824219,18.489999771118164,18.049999237060547,156.40713500976562,,91.13392639160156,68.2300033569336,30.367000579833984,13.109999656677246,185.4499969482422,45.05951690673828,,92.33000183105469,78.19000244140625
2023-07-20,372.0777587890625,4.010000228881836,346.6099853515625,141.2686309814453,101.26000213623047,109.9000015258789,118.4893798828125,12.8100004196167,485.69012451171875,39.758670806884766,412.6400146484375,1198.3399658203125,300.869384765625,341.55889892578125,44.08300018310547,,67.2699966430664,17.3799991607666,17.1299991607666,152.91448974609375,,91.17022705078125,65.44000244140625,30.295000076293945,12.930000305175781,176.3300018310547,41.8979606628418,,84.5199966430664,76.16999816894531
2023-07-21,370.9617919921875,3.9700000286102295,345.760009765625,142.53013610839844,100.81999969482422,109.87000274658203,119.30448913574219,12.760000228881836,486.4208984375,39.70155334472656,409.7799987792969,1221.030029296875,292.6544494628906,338.50634765625,43.665000915527344,,66.56999969482422,17.469999313354492,16.43000030517578,152.47055053710938,,91.17928314208984,65.56999969482422,30.315000534057617,12.739999771118164,175.89999389648438,41.52830123901367,,83.62000274658203,76.12000274658203
2023-07-24,371.5543518066406,3.9000000953674316,349.6300048828125,141.35801696777344,98.8499984741211,111.48999786376953,120.80548858642578,12.739999771118164,482.45074462890625,39.742347717285156,410.5799865722656,1198.4300537109375,290.0188903808594,339.82586669921875,43.09400177001953,,65.38999938964844,17.0,16.31999969482422,152.71717834472656,,91.19742584228516,66.16999816894531,30.937000274658203,12.680000305175781,174.8000030517578,41.693668365478516,,83.79000091552734,77.13999938964844
2023-07-25,374.07269287109375,3.8299999237060547,347.5799865722656,142.02354431152344,97.68000030517578,115.30000305175781,121.48143005371094,12.539999961853027,490.3219909667969,39.962642669677734,418.9700012207031,1181.8399658203125,292.86334228515625,345.6059875488281,43.68199920654297,,67.08999633789062,17.0,16.549999237060547,153.79261779785156,,91.20650482177734,64.98999786376953,32.1349983215332,12.510000228881836,179.2899932861328,42.530277252197266,,84.97000122070312,76.87000274658203
2023-07-26,372.82830810546875,3.940000057220459,349.79998779296875,142.7585906982422,99.75,110.63999938964844,128.4993438720703,12.739999771118164,490.7071228027344,39.938167572021484,405.1400146484375,1176.22998046875,296.94097900390625,332.59820556640625,44.34600067138672,,65.73999786376953,17.309999465942383,16.43000030517578,153.21051025390625,,91.22463989257812,64.68000030517578,31.736000061035156,10.729999542236328,170.0,42.0925178527832,,87.44000244140625,77.41000366210938
