Date,COIN,CBOE,MSTR,PLTR
2021-04-15,-0.01684537224278082,0.0161005881981533,0.006322179722594967,-0.02320679859509689
2021-04-16,0.05964368706429135,0.011787430801052823,-0.0628656342133328,-0.02937366377455486
2021-04-19,-0.02631578947368418,-0.009740307369188184,-0.08088003012951994,-0.023586951290286984
2021-04-20,-0.03657655458192566,0.005593092038555625,0.014007368507469087,-0.007292609093775604
2021-04-21,-0.027741392972072676,0.006808521616764152,0.006203124717858666,0.039026558646633625
2021-04-22,-0.059213902364691484,-0.006571960066658167,-0.0803431128132569,0.010163564211867593
2021-04-23,-0.006304331322400603,0.000671037222991,0.024807776115658653,0.024059458546623835
2021-04-26,0.04437586478243305,0.0054614003185384785,0.07467706619268766,0.029901784173520074
2021-04-27,-0.008340475713052964,-0.00914805825242715,0.02757951502706457,-0.009539670002588485
2021-04-28,-0.013079510619308787,-0.012213902790331965,0.005657443226941394,-0.0012562303329625157
2021-04-29,-0.011004861310630942,0.006133756959267211,-0.037910185569930865,-0.020125766648174337
2021-04-30,0.009736491982677675,0.009967044561243421,0.003282453231069127,-0.014120663750771145
2021-05-03,-0.011524066068236194,0.022899337633999206,-0.032777451933748813,-0.032118127129417195
2021-05-04,-0.0460554984076319,0.010771843571886874,-0.029483032963384614,-0.02959640672611552
2021-05-05,-0.027292822497541724,0.016031783123451104,0.010650393890003773,-0.02264324329660361
2021-05-06,-0.05948714371565933,-0.02188983291343838,-0.02304916587572403,-0.05011817896269266
2021-05-07,0.02702914074407925,0.00801939826716569,0.018683924453362755,-0.016923850174490607
2021-05-10,0.11281759053026974,0.023404239496042978,-0.082197114575007,-0.06481016134913964
2021-05-11,0.03254383164322783,-0.009942978032577376,0.013170372128928909,0.09420681298347855
2021-05-12,-0.06399344768461224,0.014881919164039914,-0.06080143289171458,-0.0653141887491907
2021-05-13,-0.06526561194628577,0.022490084990501202,-0.09928399452617553,-0.027527716634019317
2021-05-14,-0.02538668740618666,0.0014955677453460936,0.06808314114474068,0.09308650007356323
2021-05-17,-0.0392072988948613,-0.0104541796475085,-0.06130707474826447,0.018924261066255443
2021-05-18,-0.03722206448878973,-0.024236507269008944,-0.004393586319693887,0.03812320242171752
2021-05-19,-0.05941421317256146,0.015376221385259736,-0.06637933248437011,-0.026836144113301486
2021-05-20,0.038256186512357404,0.0016128986243217902,0.03913289312993862,-0.0029027317716943113
2021-05-21,-0.038774584531405476,-0.0033994776454081554,-0.04684129725859287,0.006792789204388638
2021-05-24,0.004234441374625364,-0.011938900199591429,0.04867710388158075,0.022650569318288793
2021-05-25,0.0759431885423496,-0.0027257471561272784,-0.005884218101697702,0.012252603077051338
2021-05-26,-0.003671463125296537,0.00637707331020243,0.02793451361776378,0.02979521930336304
2021-05-27,0.023062239014976615,0.001635665564790667,0.022908490405774362,0.026220610384305676
2021-05-28,-0.04269700598210735,0.009706825652422646,-0.0482939840557467,0.011013215488880235
2021-06-01,0.010103997030038503,-0.006019637237313247,0.016510659075797962,0.004792971649071109
2021-06-02,0.006487268653044831,0.020338018477769948,0.04341086434957231,0.06027759450081427
