Date,MDB,DDOG,NET,PLTR,MSFT
2020-10-01,0.018444146575861353,0.01321454997776006,0.02362390096355016,-0.004210522300318709,0.010126861673760645
2020-10-02,-0.006192176870968402,-0.00019325931840485921,-0.00666187931070783,-0.027484167847082297,-0.029511414501744215
2020-10-05,0.018649688377403217,0.032853431211338435,0.026586840966504433,-0.01847826954547782,0.020321041040917587
2020-10-06,0.03234321145309904,-0.027785585533371737,-0.014699044777033321,0.09634550512581486,-0.021247363025735266
2020-10-07,0.02719044214385713,0.004907641890075309,0.027231862144083907,0.010101049022522401,0.019037580954857303
2020-10-08,-0.000987712849737865,-0.016949120347543256,0.0006915347754319345,0.0,0.0035744234919892204
2020-10-09,0.024559071023006807,0.08893431645948535,0.06772629894133142,-0.00500001907348635,0.02483617889478973
2020-10-12,0.01594165579207285,0.0036675555001082216,0.2299892167928328,-0.0060300971952294,0.025902372719741384
2020-10-13,0.01880692044026011,0.04162215619750964,0.047710950724160206,-0.042467144763802644,0.006594349582550896
2020-10-14,-0.01103856618479282,-0.028407629133227807,0.02963335796632749,-0.013727572415550227,-0.008974332011715935
2020-10-15,0.017647696491934317,-0.0022897589541407415,-0.044227662125254086,0.06102780358802096,-0.005433230497509434
2020-10-16,-0.009523131028711607,-0.008209023723719566,-0.008336132595193502,-0.020181615776448725,0.0
2020-10-19,-0.007706687813952562,-0.006229947885722065,-0.0003431198738983454,-0.014418160944669856,-0.024765590541715565
2020-10-20,-0.03227265070787344,-0.027494243449147637,-0.020765386561987564,-0.03134788366010055,0.0020073135484579563
2020-10-21,-0.030543854455354902,-0.059121451196744945,-0.03645288785478906,-0.007551310144748635,0.0006986542079872038
2020-10-22,-0.012417603212366402,-0.031613935454888,0.015096432120139891,0.05217396802848251,0.00041916613676096226
2020-10-23,0.00915564598168861,0.0317363989505457,0.0001791492794691596,-0.019628153725989694,0.006235690775391989
2020-10-26,-0.03185481409872737,-0.022727269330028887,-0.01916875135567997,0.04847208105809808,-0.0284418340851742
