Date,SMCI,SNOW,PLTR,NET,PATH
2021-04-22,-0.018441522733057214,0.00021609858632487544,0.010163564211867593,0.02236380527485049,0.09420289855072461
2021-04-23,0.012172533284122933,0.018147238610168426,0.024059458546623835,0.09664590860444577,-0.008741770359064538
2021-04-26,0.010718925192852558,0.008954339737807127,0.029901784173520074,0.02466151940791761,0.0797701965904638
2021-04-27,-0.0041386530484800454,0.0017665538125986036,-0.009539670002588485,0.02654553968018658,-0.06731833902194195
2021-04-28,-0.009350653050178792,-0.006423977793422853,-0.0012562303329625157,-0.00976897429321133,0.0005307272664145657
2021-04-29,-0.001048754225381865,-0.029961106981818086,-0.020125766648174337,-0.014740067531118783,-0.0015913372331837206
2021-04-30,-0.028346467631579886,0.008886923367510624,-0.014120663750771145,-0.0017670105661138358,-0.04369771384673782
2021-05-03,0.0064830276816085775,-0.0341119824750904,-0.032118127129417195,-0.008024549472717357,-0.014861106872558594
2021-05-04,-0.018250154834499654,-0.023648837619855367,-0.02959640672611552,-0.04603848714711101,0.043000183823984184
2021-05-05,-0.008747967445761451,-0.021108061992605065,-0.02264324329660361,-0.014590419786989717,-0.042038395096397174
2021-05-06,-0.0024820255664150803,-0.06525093496575285,-0.05011817896269266,-0.1259174559723959,-0.02229436672529106
2021-05-07,0.006082343196448958,0.03102480515341477,-0.016923850174490607,0.036919111959238915,-0.003896727794679977
2021-05-10,-0.03352568866870309,-0.05930880586345133,-0.06481016134913964,-0.0383970943107963,-0.05244849743920055
2021-05-11,-0.02786467179618002,0.039418012077919284,0.09420681298347855,0.035138639065400934,0.14388372803005645
2021-05-12,-0.015794063244731205,-0.05003475377309641,-0.0653141887491907,-0.022443518776454452,-0.04076989068171566
2021-05-13,0.027340269648932436,-0.0164071444745294,-0.027527716634019317,-0.043621765088662556,-0.07441476878927067
2021-05-14,0.04888629144212486,0.11554398302856961,0.09308650007356323,0.08477121375136232,0.061126246611167945
2021-05-17,-0.0035852210987165067,0.01266721431371609,0.018924261066255443,-0.018533940673915006,-0.03518733312729927
2021-05-18,-0.00498197837933434,0.05116390874720067,0.03812320242171752,0.02071591374956472,0.07735297259162444
2021-05-19,-0.0041724908998049814,0.023620985139046535,-0.026836144113301486,-0.02264254290678558,-0.010920052258122648
2021-05-20,0.0027932934850189994,0.007648267202799319,-0.0029027317716943113,0.05240851866776697,0.04057414405952242
2021-05-21,-0.006685217270723465,0.012274470250787983,0.006792789204388638,0.004026886600775992,0.04442968708656192
2021-05-24,0.007571494818975788,0.0022708718483350765,0.022650569318288793,0.05454537480215094,0.080888923766121
2021-05-25,-0.012802673154731048,-0.01692882817234842,0.012252603077051338,0.009001002905611788,-0.013157926579449142
2021-05-26,0.0053566545738861215,0.023003970828349374,0.02979521930336304,0.003643685499069127,0.011904761904761862
2021-05-27,0.008973658156696818,0.04208286459717048,0.026220610384305676,0.03668002511167345,-0.017176459817325407
2021-05-28,-0.03446361055312974,-0.029043423595572104,0.011013215488880235,-0.009056877455760337,-0.04452958079883984
2021-06-01,0.013529053438429584,0.011679195032364476,0.004792971649071109,0.01230809366657959,0.012402879824036539
2021-06-02,0.0303891267582439,0.009841763802231007,0.06027759450081427,0.009510062819665155,0.0023512244418579797
2021-06-03,0.0035832445890056075,-0.01953285690872164,-0.03353789679286168,-0.023133823363778783,-0.09234572045597034
2021-06-04,0.007690161406298968,0.017321666777168065,0.016927699538095586,0.014160201269988848,0.03033192952605912
2021-06-07,0.008449206346833993,0.03302279784897366,0.017894231607996414,0.03322092496396967,-0.024686504905373385
2021-06-08,-0.0040540823542868365,-0.0009977251574109225,-0.003270642955863323,0.04589937802300548,0.028695219618243284
